Filename	Category Code	Column Number	Data Label	Data Label Source	Control Vocab Cd
Cell-line_NHTMP.txt	Subjects	1	SUBJ_ID		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+KRAS	2	General_call		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+KRAS	3	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+KRAS	4	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+KRAS	5	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+BRAF	6	General_call		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+BRAF	7	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+EGFR	8	General_call		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+EGFR	9	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+EGFR	10	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+PIK3CA	11	General_call		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+PIK3CA	12	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+PIK3CA	13	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Mutation_(DNA)+PIK3CA	14	Non-synonymous_mutations		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling	15	Microsatellite_instability_(DNA)		
Cell-line_NHTMP.txt	Molecular_profiling+Non-highthroughput_molecular_profiling+Promotor_methylation_(DNA)	16	DCR1		
